Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
12/30/2011,403.51,406.28,403.49,405,6416500,0,1,51.85665898,52.21264259,51.8540887,52.04814475,44915500
12/29/2011,403.4,405.65,400.51,405.12,7713500,0,1,51.84252245,52.13167881,51.47111717,52.06356642,53994500
12/28/2011,406.89,408.25,401.34,402.64,8166500,0,1,52.29103609,52.46581505,51.57778374,51.74485186,57165500
12/27/2011,403.1,409.09,403.02,406.53,9467000,0,1,51.80396827,52.57376675,51.79368715,52.24477107,66269000
12/23/2011,399.69,403.59,399.495,403.33,9621400,0,1,51.36573574,51.8669401,51.34067552,51.83352647,67349800
12/22/2011,397,399.13,396.1,398.55,7227100,0,1,51.02003325,51.29376793,50.9043707,51.21922985,50589700
12/21/2011,396.69,397.3,392.01,396.445,9391000,0,1,50.98019393,51.05858743,50.3787487,50.94870801,65737000
12/20/2011,387.76,396.1,387.26,395.95,12043400,0,1,49.83256446,50.9043707,49.76830749,50.88509361,84303800
12/19/2011,382.47,384.85,380.48,382.21,8411800,0,1,49.15272573,49.4585889,48.896983,49.11931211,58882600
12/16/2011,380.36,384.15,379.57,381.02,15052800,0,1,48.88156132,49.36862915,48.78003531,48.96638052,105369600
12/15/2011,383.33,383.74,378.31,378.94,9150000,0,1,49.26324772,49.31593843,48.61810775,48.69907153,64050000
12/14/2011,386.7,387.38,377.68,380.19,14531700,0,1,49.69633969,49.78372917,48.53714397,48.85971396,101721900
12/13/2011,393,395.4,387.1,388.81,12104600,0,1,50.5059775,50.81441095,49.74774526,49.9675041,84732200
12/12/2011,391.68,393.9,389.45,391.84,10752400,0,1,50.3363391,50.62164004,50.04975302,50.35690133,75266800
12/9/2011,392.85,394.04,391.03,393.62,10606900,0,1,50.48670041,50.63963199,50.25280504,50.58565614,74248300
12/8/2011,391.45,395.5,390.23,390.66,13441300,0,1,50.30678089,50.82726234,50.14999389,50.20525488,94089100
12/7/2011,389.93,390.94,386.7625,389.09,10883800,0,1,50.11143971,50.24123879,49.70437181,50.003488,76186600
12/6/2011,392.51,394.63,389.38,390.95,10128500,0,1,50.44300567,50.71545522,50.04075704,50.24252392,70899500
12/5/2011,393.49,396.41,390.388,393.01,12757500,0,1,50.56894933,50.94421002,50.17029909,50.50726264,89302500
12/2/2011,389.83,393.6299,388.58,389.7,13537700,0,1,50.09858831,50.58692843,49.93794589,50.0818815,94763900
12/1/2011,382.54,389,380.75,387.93,13827900,0,1,49.16172171,49.99192175,48.93168176,49.85441183,96795300
11/30/2011,381.29,382.276,378.3,382.2,14497800,0,1,49.00107929,49.12779403,48.61682261,49.11802697,101484600
11/29/2011,375.84,378.83,370.2,373.2,13423400,0,1,48.30067833,48.684935,47.57585972,47.96140153,93963800
11/28/2011,372.35,376.72,370.33,376.12,12371900,0,1,47.85216468,48.41377059,47.59256653,48.33666223,86603300
11/25/2011,368.42,371.15,363.32,363.57,9098600,0,1,47.34710491,47.69794796,46.69168383,46.72381231,63690200
11/23/2011,374.51,375.84,366.88,366.99,15295400,0,1,48.12975479,48.30067833,47.14919345,47.16332998,107067800
11/22/2011,371.02,377.93,370.94,376.51,14607900,0,1,47.68124115,48.56927246,47.67096003,48.38678266,102255300
11/21/2011,370.4,371.68,365.91,369.01,15999300,0,1,47.60156251,47.76606035,47.02453493,47.42292813,111995100
11/18/2011,378.92,379.99,374.88,374.94,13283500,0,1,48.69650125,48.83401117,48.17730495,48.18501578,92984500
11/17/2011,383.98,384.58,375.5,377.41,17139300,0,1,49.34678178,49.42389014,48.25698359,48.50244521,119975100
11/16/2011,389.25,391.14,384.32,384.77,12471800,0,1,50.02405023,50.26694157,49.39047652,49.44830779,87302600
11/15/2011,380.8,389.5,379.45,388.83,15386100,0,1,48.93810746,50.05617871,48.76461364,49.97007438,107702700
11/14/2011,383.5201,385.25,378.2,379.26,15460900,0,1,49.28767822,49.50999448,48.60397122,48.74019599,108226300
11/11/2011,386.61,388.7,380.26,384.62,23349500,0,1,49.68477344,49.95336756,48.86870993,49.4290307,163446500
11/10/2011,397.03,397.21,382.15,385.22,26598300,0,1,51.02388867,51.04702117,49.11160127,49.50613906,186188100
11/9/2011,396.97,400.89,394.23,395.28,19953000,0,1,51.01617783,51.51995246,50.66404964,50.79898927,139671000
11/8/2011,402.21,408,401.56,406.23,14301500,0,1,51.68959086,52.43368656,51.6060568,52.20621689,100110500
11/7/2011,399.91,400,396.13,399.73,9652700,0,1,51.39400881,51.40557506,50.90822612,51.3708763,67568900
11/4/2011,402.03,403.44,399.16,400.24,10793900,0,1,51.66645835,51.84766301,51.29762335,51.43641841,75557300
11/3/2011,399.07,403.4,395.36,403.07,15763800,0,1,51.2860571,51.84252245,50.80927039,51.80011285,110346600
11/2/2011,400.09,400.44,395.11,397.41,11691100,0,1,51.41714131,51.46212119,50.77714191,51.07272396,81837700
11/1/2011,397.41,399.5,393.22,396.51,18992500,0,1,51.07272396,51.34131809,50.53425056,50.95706142,132947500
10/31/2011,402.42,409.33,401.05,404.78,13767900,0,1,51.71657879,52.6046101,51.54051469,52.01987168,96375300
10/28/2011,403,406.35,402.51,404.95,11530100,0,1,51.79111687,52.22163856,51.72814504,52.04171905,80710700
10/27/2011,407.56,409,401.89,404.69,17666600,0,1,52.37714043,52.5622005,51.6484664,52.00830543,123666200
10/26/2011,401.76,402.55,393.151,400.6,16296600,0,1,51.63175959,51.7332856,50.5253831,51.48268342,114076200
10/25/2011,405.03,406.55,397.38,397.77,15372400,0,1,52.05200017,52.24734135,51.06886854,51.11898898,107606800
10/24/2011,396.18,406.5,395.4,405.77,17933500,0,1,50.91465182,52.24091565,50.81441095,52.14710048,125534500
10/21/2011,398.1,399.14,390.75,392.87,22187300,0,1,51.16139858,51.29505307,50.21682114,50.48927068,155311100
10/20/2011,400,400.35,394.21,395.31,19616800,0,1,51.40557506,51.45055494,50.66147936,50.80284469,137317600
10/19/2011,401.35,408.419,397.8,398.62,39430700,0,1,51.57906888,52.4875339,51.1228444,51.22822583,276014900
10/18/2011,421.76,424.8067,415.99,422.24,31485800,0,1,54.20203834,54.59358176,53.46051292,54.26372503,220400600
10/17/2011,421.74,426.7,415.94,419.99,24501600,0,1,54.19946806,54.8368972,53.45408723,53.97456867,171511200
10/14/2011,416.83,422,415.27,422,20477400,0,1,53.56846463,54.23288169,53.36798289,54.23288169,143341800
10/13/2011,404.98,408.43,402.85,408.43,15220900,0,1,52.04557447,52.48894755,51.77183978,52.48894755,106546300
10/12/2011,407.34,409.25,400.14,402.19,22224500,0,1,52.34886736,52.59432898,51.42356701,51.68702058,155571500
10/11/2011,392.57,403.18,391.5,400.29,21631700,0,1,50.4507165,51.81424938,50.31320659,51.4428441,151421900
10/10/2011,379.09,388.81,378.21,388.81,15804100,0,1,48.71834862,49.9675041,48.60525636,49.9675041,110628700
10/7/2011,375.78,377.74,368.489,369.8,19123500,0,1,48.29296749,48.54485481,47.35597237,47.52445414,133864500
10/6/2011,373.33,384.78,371.8045,377.37,29020800,0,1,47.97810834,49.44959293,47.78206033,48.49730465,203145600
10/5/2011,367.86,379.82,360.3,378.25,28088200,0,1,47.2751371,48.8121638,46.30357174,48.61039692,196617400
10/4/2011,374.57,381.8,354.24,372.5,44059900,0,1,48.13746563,49.06662139,45.52477727,47.87144177,308419300
10/3/2011,380.37,382.64,373.171,374.6,23896400,0,1,48.88284646,49.1745731,47.95767463,48.14132104,167274800
9/30/2011,387.12,388.89,381.18,381.32,19558600,0,1,49.75031554,49.97778521,48.98694275,49.0049347,136910200
9/29/2011,401.92,402.21,386.21,390.57,23253100,0,1,51.65232182,51.68959086,49.63336786,50.19368863,162771700
9/28/2011,400.19,403.74,396.51,397.01,15344200,0,1,51.42999271,51.88621719,50.95706142,51.02131839,107409400
9/27/2011,408.73,409.25,398.06,399.26,22589200,0,1,52.52750174,52.59432898,51.15625802,51.31047475,158124400
9/26/2011,399.86,403.98,391.3,403.17,29031300,0,1,51.38758311,51.91706053,50.2875038,51.81296424,203219100
9/23/2011,400.28,406.74,399.85,404.3,19509900,0,1,51.44155896,52.271759,51.38629797,51.95818499,136569300
9/22/2011,401.03,409.82,396.7,401.82,34588600,0,1,51.53794442,52.66758193,50.98147907,51.63947043,242120200
9/21/2011,419.64,421.59,412,412.14,21642000,0,1,53.9295888,54.18019097,52.94774231,52.96573426,151494000
9/20/2011,415.25,422.86,411.19,413.45,27705500,0,1,53.36541261,54.34340367,52.84364602,53.13408752,193938500
9/19/2011,397,413.23,395.2045,411.63,29423600,0,1,51.02003325,53.10581446,50.78928647,52.90019216,205965200
9/16/2011,395.54,400.503,395.03,400.5,24946900,0,1,50.8324029,51.47021757,50.76686079,51.46983203,174628300
9/15/2011,391.43,393.66,389.9,392.96,14922100,0,1,50.30421061,50.5907967,50.10758429,50.50083694,104454700
9/14/2011,387.02,392.21,385.76,389.3,19097300,0,1,49.73746415,50.40445149,49.57553659,50.03047593,133681100
9/13/2011,382.14,386.21,380.25,384.62,15734300,0,1,49.11031613,49.63336786,48.86742479,49.4290307,110140100
9/12/2011,375.89,380.88,371.9,379.94,16708300,0,1,48.30710402,48.94838857,47.79433341,48.82758547,116958100
9/9/2011,383.93,386,375.02,377.48,20171900,0,1,49.34035608,49.60637993,48.1952969,48.51144118,141203300
9/8/2011,382.4,388.61,382.31,384.14,14862800,0,1,49.14372976,49.94180131,49.1321635,49.36734401,104039600
9/7/2011,385.56,385.6,382,383.93,12520600,0,1,49.5498338,49.55497436,49.09232418,49.34035608,87644200
9/6/2011,367.37,380.33,366.48,379.74,18203500,0,1,47.21216527,48.87770591,47.09778787,48.80188268,127424500
9/2/2011,374.74,378,371.83,374.05,15676400,0,1,48.159313,48.57826843,47.78533744,48.07063838,109734800
9/1/2011,385.82,387.3399,380.72,381.03,12275900,0,1,49.58324742,49.77857576,48.92782634,48.96766566,85931300
8/31/2011,390.57,392.08,381.86,384.83,18663800,0,1,50.19368863,50.38774467,49.07433223,49.45601863,130646600
8/30/2011,388.25,391.84,386.21,389.99,14925800,0,1,49.89553629,50.35690133,49.63336786,50.11915054,104480600
8/29/2011,388.18,391.5,388,389.97,14473900,0,1,49.88654032,50.31320659,49.86340781,50.11658027,101317300
8/26/2011,371.17,383.8,370.8008,383.58,22909900,0,1,47.70051824,49.32364927,47.65307089,49.2953762,160369300
8/25/2011,365.08,375.45,365,373.72,31119500,0,1,46.91786836,48.25055789,46.90758724,48.02822878,217836500
8/24/2011,373.47,378.96,370.6,376.18,22366700,0,1,47.99610029,48.70164181,47.62726529,48.34437307,156566900
8/23/2011,360.3,373.64,357,373.6,23458400,0,1,46.30357174,48.01794766,45.87947574,48.01280711,164208800
8/22/2011,364.51,364.88,355.09,356.44,19118400,0,1,46.84461541,46.89216557,45.63401412,45.80750794,133828800
8/19/2011,362.17,367,356,356.03,27710300,0,1,46.5438928,47.16461512,45.7509618,45.75481722,193972100
8/18/2011,370.84,372.65,361.37,366.05,30408400,0,1,47.65810864,47.89071887,46.44108165,47.04252688,212858800
8/17/2011,382.31,384.52,378,380.44,15787900,0,1,49.1321635,49.41617931,48.57826843,48.89184244,110515300
8/16/2011,381.52,383.37,376.06,380.48,17812500,0,1,49.03063749,49.26838828,48.32895139,48.896983,124687500
8/15/2011,379.63,384.97,378.09,383.41,16448000,0,1,48.78774615,49.47401058,48.58983469,49.27352883,115136000
8/12/2011,378.07,379.64,374.23,376.99,18892000,0,1,48.58726441,48.78903129,48.09377089,48.44846935,132244000
8/11/2011,370.52,375.45,364.72,373.7,26498900,0,1,47.61698418,48.25055789,46.87160334,48.0256585,185492300
8/10/2011,371.15,374.65,362.5,363.69,31380600,0,1,47.69794796,48.14774674,46.5863024,46.73923398,219664200
8/9/2011,361.3,374.61,355,374.01,38663700,0,1,46.43208567,48.14260618,45.62244787,48.06549782,270645900
8/8/2011,361.69,367.77,353.02,353.21,40851200,0,1,46.48220611,47.26357085,45.36799027,45.39240792,285958400
8/5/2011,380.44,383.5,362.57,373.62,43021100,0,1,48.89184244,49.28509509,46.59529837,48.01537739,301147700
8/4/2011,389.41,391.32,377.35,377.37,31121700,0,1,50.04461246,50.29007408,48.49473437,48.49730465,217851900
8/3/2011,390.98,393.55,382.24,392.57,26161000,0,1,50.24637934,50.57666016,49.12316753,50.4507165,183127000
8/2/2011,397.65,397.9,388.35,388.91,22840700,0,1,51.10356731,51.13569579,49.90838769,49.98035549,159884900
8/1/2011,397.78,399.5,392.37,396.75,21887000,0,1,51.12027412,51.34131809,50.42501372,50.98790476,153209000
7/29/2011,387.64,395.15,384,390.48,22592300,0,1,49.81714279,50.78228246,49.34935206,50.18212237,158146100
7/28/2011,391.62,396.99,388.13,391.82,21215500,0,1,50.32862826,51.01874811,49.88011462,50.35433105,148508500
7/27/2011,400.59,402.64,392.15,392.59,23547300,0,1,51.48139828,51.74485186,50.39674065,50.45328678,164831100
7/26/2011,400,404.5,399.68,403.41,17020800,0,1,51.40557506,51.98388778,51.3644506,51.84380759,119145600
7/25/2011,390.35,400,389.62,398.5,21064500,0,1,50.16541556,51.40557506,50.07160039,51.21280415,147451500
7/22/2011,388.32,395.05,387.75,393.3,18454600,0,1,49.90453227,50.76943107,49.83127932,50.54453168,129182200
7/21/2011,386.95,390.06,383.9,387.29,18804800,0,1,49.72846817,50.12814652,49.33650066,49.77216291,131633600
7/20/2011,396.12,396.27,386,386.9,33619300,0,1,50.90694098,50.92621807,49.60637993,49.72204248,235335100
7/19/2011,378,378.65,373.32,376.85,29255200,0,1,48.57826843,48.66180249,47.9768232,48.4304774,204786400
7/18/2011,365.43,374.65,365.28,373.8,20451900,0,1,46.96284824,48.14774674,46.94357114,48.03850989,143163300
7/15/2011,361.17,365,359.17,364.92,17302400,0,1,46.41537886,46.90758724,46.15835099,46.89730613,121116800
7/14/2011,361.01,361.61,356.34,357.77,15376200,0,1,46.39481663,46.47192499,45.79465654,45.97843147,107633400
7/13/2011,358.33,360,356.38,358.02,13987100,0,1,46.05039928,46.26501755,45.7997971,46.01055996,97909700
7/12/2011,353.53,357.68,348.62,353.75,16128900,0,1,45.43353238,45.96686522,44.80252894,45.46180544,112902300
7/11/2011,356.34,359.77,352.82,354,15809800,0,1,45.79465654,46.23545935,45.34228748,45.49393393,110668600
7/8/2011,353.34,360,352.2,359.71,17486900,0,1,45.40911473,46.26501755,45.26260884,46.22774851,122408300
7/7/2011,354.67,358,354,357.2,14273700,0,1,45.58003827,46.00798968,45.49393393,45.90517853,99915900
7/6/2011,348.95,354.1,346.71,351.76,15879500,0,1,44.84493854,45.50678532,44.55706732,45.20606271,111156500
